"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal","temp_K","temp_oC"
2010,"2010-11-02","2010-11-08",6,1,1029,21.71,24.29,1.14,10,35.43,23.43,5.14,11.43,7.43,1.71,0.86,0.29,0,0,299.185708182199,26.0357081821987
2010,"2010-11-09","2010-11-15",6,1,1036,10.86,12.86,2.29,6.57,32.29,41.43,15.43,14,4.57,0.57,2.57,0.29,0,0,298.282863071987,25.1328630719866
2010,"2010-11-16","2010-11-22",6,1,1043,45.71,21.14,1.14,16,40.57,59.43,60,25.71,5.14,0,1.71,0,0,0,297.915714808873,24.7657148088728
2010,"2010-11-23","2010-11-29",6,1,1050,60.57,2.86,0,4,10.86,17.14,41.14,36.57,2.29,1.71,0,0,0,0,297.694283621652,24.5442836216518
2010,"2010-11-30","2010-12-06",6,1,1057,12.29,8.86,0.29,0.86,4.57,24.57,29.14,24.86,2.29,0.86,0.86,0.29,0,0,296.824288504464,23.6742885044643
2010,"2010-12-07","2010-12-13",6,1,1064,14.29,21.71,0,6.29,25.14,63.43,48,22.29,11.43,0.57,1.14,2.29,0,4,295.969996861049,22.8199968610491
2010,"2010-12-14","2010-12-20",6,1,1071,14.86,10.29,1.71,6.29,18.86,66.29,168.57,35.43,24.57,0.57,5.71,2.86,2.29,120.57,295.350006103516,22.2000061035156
2010,"2010-12-21","2010-12-27",6,1,1078,17.71,16,0.57,6.29,15.43,30.29,178.29,55.43,34.86,0,6.29,30.86,2.86,284,294.881430489676,21.7314304896764
2010,"2010-12-28","2011-01-03",6,1,1085,6.86,12,0.57,4,7.43,12.57,73.14,53.71,30.86,0.57,4.57,46.29,0.57,33.14,294.479997907366,21.3299979073661
2011,"2011-01-04","2011-01-10",6,1,1092,2.29,4.57,0.57,1.71,2.29,6.29,32.57,18.29,10.29,0,1.71,82.29,0,16.57,294.334289550781,21.1842895507813
2011,"2011-01-11","2011-01-17",6,1,1099,6.86,9.14,0,1.71,2.86,6.29,25.14,33.71,13.71,1.14,0.57,108.57,0.57,30.29,293.771427699498,20.6214276994978
2011,"2011-01-18","2011-01-20",2,1,1102,1.14,1.71,0,0,0,1.14,6.86,2.86,2.86,0,0,154.86,0,2.29,293.483337402344,20.3333374023438
2011,"2011-01-21","2011-02-03",13,1,1116,7.14,2.29,0.29,1.71,0.57,4.57,22,12.29,28.29,0.29,3.43,412.29,0,3.71,293.075001307896,19.9250013078963
2011,"2011-02-04","2011-02-17",13,1,1130,2.29,5.43,0,1.43,0.86,5.14,26.29,12,24.86,0.29,1.14,535.14,0.29,0.29,292.805003574916,19.6550035749163
2011,"2011-02-18","2011-03-03",13,1,1144,8,22.57,1.14,9.71,9.71,20.57,82.86,43.71,79.14,0,7.14,108.57,1.14,0.29,293.795715332031,20.6457153320313
2011,"2011-03-04","2011-03-10",6,1,1151,1.71,11.43,2.86,6.29,14.29,14.29,15.43,14.29,104.57,1.71,2.29,153.14,0,0,294.297145298549,21.1471452985491
2011,"2011-03-11","2011-03-17",6,1,1158,0.29,7.14,0.86,0.57,1.71,2,0.57,0.29,29.43,0,1.14,5.43,0,0.29,294.624276297433,21.4742762974331
2011,"2011-03-18","2011-03-24",6,1,1165,9.71,6.29,9.71,26.86,55.43,34.29,13.14,17.14,27.43,0.57,0,14.29,0,0,295.874285016741,22.7242850167411
2011,"2011-03-25","2011-03-31",6,1,1172,4.86,8.86,12.57,18,28.29,13.43,12.29,11.71,12.29,2.86,0.86,14.86,0.29,0,296.78857421875,23.63857421875
2011,"2011-04-01","2011-04-07",6,1,1179,0.86,21.14,2.86,3.43,16.29,7.43,1.71,8,7.43,12.57,0.86,5.43,0,0,297.198573521205,24.0485735212054
2011,"2011-04-08","2011-04-14",6,1,1186,1.14,8.86,3.71,11.43,30.57,29.14,4.29,11.14,7.14,8.57,2,4.86,0.86,0,296.965720040458,23.8157200404576
2011,"2011-04-15","2011-04-21",6,1,1193,7.14,6.57,4.86,9.43,25.71,12.29,10.57,25.43,2,2.29,1.14,3.14,0,0,297.38285609654,24.2328560965402
2011,"2011-04-22","2011-04-28",6,1,1200,8,3.14,14.29,19.43,33.43,7.14,10.29,15.71,8,10.29,0.86,8.29,0,0,297.861428397042,24.7114283970424
2011,"2011-04-29","2011-05-05",6,1,1207,1.14,4.86,4.57,5.43,10,2.57,1.43,7.71,4.29,1.14,0,4,0,0,298.030003138951,24.8800031389509
2011,"2011-05-06","2011-05-12",6,1,1214,1.14,12.29,5.14,14.57,42.29,42,2.57,8.86,14.29,0.57,4.29,2.57,0,0,298.498574393136,25.3485743931362
2011,"2011-05-13","2011-05-19",6,1,1221,3.43,7.43,6.57,7.71,33.43,27.14,8.86,20,6.86,4.57,3.71,8.86,0,0,298.659990583147,25.5099905831473
2011,"2011-05-20","2011-05-26",6,1,1228,2.29,3.71,4.29,12.29,32.57,23.71,3.43,7.71,8.57,1.71,1.71,2.57,0,0,299.012860979353,25.8628609793527
2011,"2011-05-27","2011-06-02",6,1,1235,2.57,8,4.29,5.14,22.57,20.57,5.14,9.71,8.29,1.43,1.71,1.71,0.29,0,299.847137451172,26.6971374511719
2011,"2011-06-03","2011-06-09",6,1,1242,0.57,20.57,7.43,7.43,35.43,40.57,2.29,5.14,37.71,2.29,7.43,1.71,0,0,300.540004185268,27.3900041852679
2011,"2011-06-10","2011-06-23",13,1,1256,16,8.57,13.14,25.43,28.29,15.14,4,8.86,10.29,4,1.43,5.71,0,0,301.861430576869,28.7114305768694
2011,"2011-06-24","2011-07-07",13,1,1270,9.43,6.86,8.57,18,21.43,12,1.14,5.71,5.14,5.43,1.43,3.43,0.29,0,302.162139892578,29.0121398925781
