open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
28/12/10,04/01/11,01/01/11,1,1086,7,0,21.32249985,6.86,12,0.57,4,7.43,12.57,73.14,53.71,30.86,0.57,4.57,46.29,0.57,33.14
04/01/11,11/01/11,08/01/11,8,1093,7,0,21.16500244,2.29,4.57,0.57,1.71,2.29,6.29,32.57,18.29,10.29,0,1.71,82.29,0,16.57
11/01/11,18/01/11,15/01/11,15,1100,7,0,20.59874878,6.86,9.14,0,1.71,2.86,6.29,25.14,33.71,13.71,1.14,0.57,108.57,0.57,30.29
18/01/11,21/01/11,20/01/11,20,1103,3,0,20.2700058,1.14,1.71,0,0,0,1.14,6.86,2.86,2.86,0,0,154.86,0,2.29
21/01/11,04/02/11,28/01/11,28,1117,14,0,19.90066732,7.14,2.29,0.29,1.71,0.57,4.57,22,12.29,28.29,0.29,3.43,412.29,0,3.71
04/02/11,18/02/11,11/02/11,42,1131,14,0,19.68067017,2.29,5.43,0,1.43,0.86,5.14,26.29,12,24.86,0.29,1.14,535.14,0.29,0.29
18/02/11,04/03/11,25/02/11,56,1145,14,0,20.67733358,8,22.57,1.14,9.71,9.71,20.57,82.86,43.71,79.14,0,7.14,108.57,1.14,0.29
04/03/11,11/03/11,08/03/11,67,1152,7,0,21.13250122,1.71,11.43,2.86,6.29,14.29,14.29,15.43,14.29,104.57,1.71,2.29,153.14,0,0
11/03/11,18/03/11,15/03/11,74,1159,7,0,21.57624207,0.29,7.14,0.86,0.57,1.71,2,0.57,0.29,29.43,0,1.14,5.43,0,0.29
18/03/11,25/03/11,22/03/11,81,1166,7,0,22.81249771,9.71,6.29,9.71,26.86,55.43,34.29,13.14,17.14,27.43,0.57,0,14.29,0,0
25/03/11,01/04/11,29/03/11,88,1173,7,0,23.75500259,4.86,8.86,12.57,18,28.29,13.43,12.29,11.71,12.29,2.86,0.86,14.86,0.29,0
01/04/11,08/04/11,05/04/11,95,1180,7,0,23.9975029,0.86,21.14,2.86,3.43,16.29,7.43,1.71,8,7.43,12.57,0.86,5.43,0,0
08/04/11,15/04/11,12/04/11,102,1187,7,0,23.83000336,1.14,8.86,3.71,11.43,30.57,29.14,4.29,11.14,7.14,8.57,2,4.86,0.86,0
15/04/11,22/04/11,19/04/11,109,1194,7,0,24.31500015,7.14,6.57,4.86,9.43,25.71,12.29,10.57,25.43,2,2.29,1.14,3.14,0,0
22/04/11,29/04/11,26/04/11,116,1201,7,0,24.70124969,8,3.14,14.29,19.43,33.43,7.14,10.29,15.71,8,10.29,0.86,8.29,0,0
29/04/11,06/05/11,03/05/11,123,1208,7,0,24.85125122,1.14,4.86,4.57,5.43,10,2.57,1.43,7.71,4.29,1.14,0,4,0,0
06/05/11,13/05/11,10/05/11,130,1215,7,0,25.43125305,1.14,12.29,5.14,14.57,42.29,42,2.57,8.86,14.29,0.57,4.29,2.57,0,0
13/05/11,20/05/11,17/05/11,137,1222,7,0,25.48624191,3.43,7.43,6.57,7.71,33.43,27.14,8.86,20,6.86,4.57,3.71,8.86,0,0
20/05/11,27/05/11,24/05/11,144,1229,7,0,25.93375168,2.29,3.71,4.29,12.29,32.57,23.71,3.43,7.71,8.57,1.71,1.71,2.57,0,0
27/05/11,03/06/11,31/05/11,151,1236,7,0,26.68624649,2.57,8,4.29,5.14,22.57,20.57,5.14,9.71,8.29,1.43,1.71,1.71,0.29,0
03/06/11,10/06/11,07/06/11,158,1243,7,0,27.42875443,0.57,20.57,7.43,7.43,35.43,40.57,2.29,5.14,37.71,2.29,7.43,1.71,0,0
10/06/11,24/06/11,17/06/11,168,1257,14,0,28.69333496,16,8.57,13.14,25.43,28.29,15.14,4,8.86,10.29,4,1.43,5.71,0,0
24/06/11,08/07/11,01/07/11,182,1271,14,0,29.07066447,9.43,6.86,8.57,18,21.43,12,1.14,5.71,5.14,5.43,1.43,3.43,0.29,0
08/07/11,22/07/11,15/07/11,196,1285,14,0,29.54933065,3.43,5.14,10.29,22.29,35.71,29.43,1.43,4.86,4.86,8.29,0.86,1.14,0,0
22/07/11,09/08/11,31/07/11,212,1303,18,5,30.17631643,1.33,7.11,5.33,12.44,22.89,7.78,1.33,4.22,3.33,3.56,0.22,1.11,0.22,0
